position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
2_0	837159759713566_1078059168956956	a5420b77781b8494a28d622eba2717eb13d3f57f	What a brainwashed Leftist sounds like. The white guilt is strong in this one... Both funny and very sad at the same time.	2016-09-27T00:44:55+0000	1078063022289904	51be63aab1642d9a30f97449b05118531a3a2261	0	I couldn't listen to the whole thing. UGH.	2016-09-27T00:55:12+0000	0
3_0	837159759713566_1078038785625661	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Lou Dobbs s video to the group: TRUMP FORCE ONE.	2016-09-27T00:04:26+0000	1078054245624115	464662eca1b3f0b5ec724d8f42652f950338f019	0	Mr. Trump will be fine in the Debate, Americans Know the Truth from Fiction, Mr. Trump is the Truth, "The Real Deal", Mr. Trump is Strong, and above all, Mr. Trump Really Does Love America, Our Values Everything We as Americans Stand For and Will Fight For, sometimes he is little bit Rough Edged, a Good Quality for the President to have some Grit, but above all Mr. Trump is Mr.Trump himself an people Love it when you are yourself they know your True.  Vote Trump 2016.	2016-09-27T00:37:28+0000	1
3_1	837159759713566_1078038785625661	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Lou Dobbs s video to the group: TRUMP FORCE ONE.	2016-09-27T00:04:26+0000	1078057078957165	464662eca1b3f0b5ec724d8f42652f950338f019	0	Not taking anything away from you Mr Pence I'm sure you posess these qualitys as well, Thats why Mr. Trump picked You as his Running Mate, Vote Trump /Pence 2016	2016-09-27T00:40:32+0000	1
3_2	837159759713566_1078038785625661	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Lou Dobbs s video to the group: TRUMP FORCE ONE.	2016-09-27T00:04:26+0000	1078062725623267	464662eca1b3f0b5ec724d8f42652f950338f019	0	Just a Note:  Mary Wilson your always there reading my Posts with that Big Smile in your Photo and Liking them,  You are my Encouragement especially since I've never done the political picture till this Election, I realized our Country was in trouble an time to Wake The Sleeping Giants an Spread the word Vote Trump 2016. The only time I was ever this excited before was when John F. Kennedy was running, I was to young to Vote then. Mr. Trump will be as Great as Mr. Kennedy.  Trump 2016 👍	2016-09-27T00:54:35+0000	1
3_3	837159759713566_1078038785625661	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Lou Dobbs s video to the group: TRUMP FORCE ONE.	2016-09-27T00:04:26+0000	1078064272289779	1f777d11ea0aca57f88b76471ec507f7eb4d8047	0	Thank you! #WeNeedTrump!!	2016-09-27T00:58:07+0000	0
4_0	837159759713566_1078057708957102	a5420b77781b8494a28d622eba2717eb13d3f57f	30 min to #debatenight WE RE WATCHING! @realDonaldTrump is about to make this real! So long @HillaryClinton. You re TOAST!	2016-09-27T00:42:05+0000	1078061982290008	1f777d11ea0aca57f88b76471ec507f7eb4d8047	1	Hillary's TOAST!	2016-09-27T00:52:27+0000	0
4_1	837159759713566_1078057708957102	a5420b77781b8494a28d622eba2717eb13d3f57f	30 min to #debatenight WE RE WATCHING! @realDonaldTrump is about to make this real! So long @HillaryClinton. You re TOAST!	2016-09-27T00:42:05+0000	1078058535623686	60e651569c5d24a721d734ad7f80ea5f4324a342	0		2016-09-27T00:43:34+0000	1
5_0	837159759713566_1078042452291961	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Fox Business s video to the group: TRUMP FORCE ONE.	2016-09-27T00:13:00+0000	1078046375624902	1ebdd4c6323ef5062a3fc4f170afde8697b15242	0	Trump...	2016-09-27T00:18:55+0000	0
5_1	837159759713566_1078042452291961	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Fox Business s video to the group: TRUMP FORCE ONE.	2016-09-27T00:13:00+0000	1078052258957647	1d3316ae8d7e3bf12b54811384ecca543d1f6559	0		2016-09-27T00:31:57+0000	1
5_2	837159759713566_1078042452291961	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Fox Business s video to the group: TRUMP FORCE ONE.	2016-09-27T00:13:00+0000	1078059322290274	60e651569c5d24a721d734ad7f80ea5f4324a342	0	Bobby Knight knows what he's talking about ... bottom line TRUMP ROCKS 🇺🇸	2016-09-27T00:45:28+0000	2
5_3	837159759713566_1078042452291961	a5420b77781b8494a28d622eba2717eb13d3f57f	Mary Wilson shared Fox Business s video to the group: TRUMP FORCE ONE.	2016-09-27T00:13:00+0000	1078061482290058	41eac10cf4004b03b8ccfacf73b5863d25d47657	0	Great show Lou.	2016-09-27T00:50:53+0000	0
9_0	837159759713566_1077950878967785	a5420b77781b8494a28d622eba2717eb13d3f57f	All the Radical Hollywood people should Buy their One Way ticket now.	2016-09-26T21:05:54+0000	1077951778967695	7ae561dae470a1064e9fb1b4bdf6e1f2838c8ff3	0	See ya'!  Bon voyage etc	2016-09-26T21:07:55+0000	3
